name,department,mobile
Normie,Support,6353421913
Clara,Business Development,4948071875
Jacquelynn,Business Development,9758293314
Vick,Business Development,8394037372
Chelsae,Product Management,4718448457
Clevey,Accounting,9712797496
Elwood,Marketing,8175104069
Griff,Human Resources,3573824667
Rozelle,Accounting,4515066139
Gilberta,Services,6696769842
Marijn,Support,9555144937
Franchot,Business Development,8854462242
Hatty,Accounting,3517259180
Quintin,Support,7705291124
Cull,Research and Development,2663741209
Sanford,Services,1233030837
Darius,Human Resources,7879578953
Myrah,Accounting,3336008488
Chad,Research and Development,3258060231
Octavia,Sales,8929216508
Goldia,Research and Development,5195516360
Kingsley,Training,4644708553
Bren,Legal,6061271872
Dickie,Legal,9273741070
Shirlee,Human Resources,4054655787
Homer,Training,8184604540
Elladine,Support,2351433332
Claudina,Engineering,3279393884
Ettie,Business Development,9556271823
Dane,Sales,8206548304
Puff,Support,8774417746
Elihu,Marketing,1339816480
